"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C1950","0","10","40","0","2016","1","","Decatur, IL MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",2377,48978,49183,49364,607076095,305682121,9864590,950,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-61,-2.5,1060,2.2,1067,2.2,742,1.5,-64860646,-9.7,7972067,2.7,-816996,-7.6,-122,-11.4
"C1950","0","10","40","0","2016","2","","Decatur, IL MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",2391,49934,49812,49442,598282227,112241390,3643881,925,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-92,-3.7,621,1.3,-21,0.0,16,0.0,27040091,4.7,802291,0.7,-453237,-11.1,38,4.3
"C1950","0","10","40","0","2016","3","","Decatur, IL MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",2392,48650,48910,49773,600930840,60612258,1930093,941,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-105,-4.2,47,0.1,-703,-1.4,-116,-0.2,8709008,1.5,-1195737,-1.9,-334507,-14.8,18,2.0
"C1950","0","10","40","0","2016","4","","Decatur, IL MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",2393,49657,49578,49440,601182653,44736097,1407752,933,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-68,-2.8,-469,-0.9,-476,-1.0,-557,-1.1,-5672567,-0.9,-5248173,-10.5,-502257,-26.3,0,0.0
"C1950","1","10","41","0","2016","1","","Decatur, IL MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",26,326,315,320,4522893,0,0,1086,"",1.74,0.34,0.32,0.33,0.26,0.00,0.00,0.80,"",-1,-3.7,8,2.5,-3,-0.9,-2,-0.6,-621855,-12.1,0,0.0,0,0.0,-153,-12.3
"C1950","1","10","41","0","2016","2","","Decatur, IL MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",26,316,324,325,4155914,0,0,994,"",1.74,0.32,0.33,0.33,0.25,0.00,0.00,0.77,"",-1,-3.7,3,1.0,11,3.5,6,1.9,-204116,-4.7,0,0.0,0,0.0,-71,-6.7
"C1950","1","10","41","0","2016","3","","Decatur, IL MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",26,325,318,316,4750594,0,0,1143,"",1.76,0.34,0.33,0.32,0.26,0.00,0.00,0.77,"",0,0.0,18,5.9,9,2.9,2,0.6,-90062,-1.9,0,0.0,0,0.0,-58,-4.8
"C1950","1","10","41","0","2016","4","","Decatur, IL MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",26,317,313,313,4579986,0,0,1121,"",1.77,0.33,0.32,0.32,0.27,0.00,0.00,0.83,"",0,0.0,4,1.3,-5,-1.6,-3,-0.9,-137762,-2.9,0,0.0,0,0.0,-29,-2.5
"C1950","2","10","41","0","2016","1","N","Decatur, IL MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.06,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1950","2","10","41","0","2016","2","N","Decatur, IL MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.06,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
