"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C2658","0","10","40","0","2016","1","","Huntington-Ashland, WV-KY-OH MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",8333,125466,125628,127279,1266487268,622627328,17533910,772,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,0.1,-1849,-1.5,-995,-0.8,-146,-0.1,-1334889,-0.1,-4221928,-0.7,-303496,-1.7,5,0.7
"C2658","0","10","40","0","2016","2","","Huntington-Ashland, WV-KY-OH MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",8309,128471,128948,128333,1349247159,269111019,7598125,807,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-0.1,-952,-0.7,-1078,-0.8,-888,-0.7,-22132906,-1.6,4827596,1.8,-35301,-0.5,-7,-0.9
"C2658","0","10","40","0","2016","3","","Huntington-Ashland, WV-KY-OH MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",8345,121930,126557,129236,1333654910,154331950,4365257,815,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",26,0.3,-786,-0.6,-968,-0.8,30,0.0,55330562,4.3,5588489,3.8,70673,1.6,38,4.9
"C2658","0","10","40","0","2016","4","","Huntington-Ashland, WV-KY-OH MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",8333,129542,129793,129151,1372811892,117252966,3338253,815,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-0.1,-1628,-1.2,-1045,-0.8,-1253,-1.0,-76064902,-5.2,-10177411,-8.0,-870807,-20.7,-37,-4.3
"C2658","1","10","41","0","2016","1","","Huntington-Ashland, WV-KY-OH MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",106,3256,3234,3260,55002575,0,0,1302,"",2.02,1.31,1.30,1.30,1.53,0.00,0.00,1.17,"",-3,-2.8,115,3.7,125,4.0,125,4.0,-1092976,-1.9,0,0.0,0,0.0,-77,-5.6
"C2658","1","10","41","0","2016","2","","Huntington-Ashland, WV-KY-OH MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",106,3198,3202,3219,50807412,0,0,1219,"",2.05,1.27,1.27,1.28,1.37,0.00,0.00,1.08,"",-2,-1.9,47,1.5,54,1.7,53,1.7,-384549,-0.8,0,0.0,0,0.0,-29,-2.3
"C2658","1","10","41","0","2016","3","","Huntington-Ashland, WV-KY-OH MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",105,3190,3207,3205,59287082,0,0,1425,"",2.03,1.32,1.28,1.26,1.43,0.00,0.00,1.12,"",-2,-1.9,-20,-0.6,-37,-1.1,-37,-1.1,1922427,3.4,0,0.0,0,0.0,60,4.4
"C2658","1","10","41","0","2016","4","","Huntington-Ashland, WV-KY-OH MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",106,3228,3215,3227,58435865,0,0,1395,"",2.07,1.28,1.27,1.27,1.51,0.00,0.00,1.19,"",-1,-0.9,-12,-0.4,-32,-1.0,-34,-1.0,4097324,7.5,0,0.0,0,0.0,109,8.5
"C2658","2","10","41","0","2016","1","","Huntington-Ashland, WV-KY-OH MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",137,4932,5291,5332,53102769,162367,4052,788,"",2.28,1.22,1.28,1.28,1.26,0.09,0.58,1.00,"",0,0.0,-144,-2.8,-38,-0.7,-5,-0.1,616849,1.2,-13685,-7.8,-751,-15.6,19,2.5
"C2658","2","10","41","0","2016","2","","Huntington-Ashland, WV-KY-OH MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",137,5259,5197,4828,52474273,99674,2706,792,"",2.31,1.26,1.25,1.19,1.10,0.05,0.39,0.89,"",0,0.0,-93,-1.7,-123,-2.3,-43,-0.9,471507,0.9,-24732,-19.9,-1208,-30.9,20,2.6
