"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C2894","0","10","40","0","2016","1","","Knoxville, TN MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",18650,364890,365784,369662,4184770093,1836442340,19998392,878,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",319,1.7,6087,1.7,7091,2.0,9128,2.5,163629337,4.1,-29061208,-1.6,-4600434,-18.7,17,2.0
"C2894","0","10","40","0","2016","2","","Knoxville, TN MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",18717,373211,374364,374747,4223173187,518317323,6135505,868,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",465,2.5,7719,2.1,6402,1.7,7749,2.1,169511854,4.2,-71422733,-12.1,-1991581,-24.5,18,2.1
"C2894","0","10","40","0","2016","3","","Knoxville, TN MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",18884,370325,374910,377607,4369141838,342704595,4179631,898,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",493,2.7,6071,1.7,7324,2.0,6556,1.8,319285555,7.9,-27221334,-7.4,-597422,-12.5,51,6.0
"C2894","0","10","40","0","2016","4","","Knoxville, TN MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",19026,377501,379532,378706,4729344445,285908827,3676136,961,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",477,2.6,4988,1.3,5527,1.5,4414,1.2,-20111737,-0.4,-51484321,-15.3,-1257942,-25.5,-17,-1.7
"C2894","1","10","41","0","2016","1","","Knoxville, TN MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",139,5263,5240,5223,103709680,0,0,1522,"",1.18,0.73,0.72,0.72,0.87,0.00,0.00,1.21,"",-8,-5.4,-30,-0.6,-8,-0.2,-36,-0.7,-2411793,-2.3,0,0.0,0,0.0,-28,-1.8
"C2894","1","10","41","0","2016","2","","Knoxville, TN MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",140,5277,5281,5339,103625779,0,0,1504,"",1.20,0.72,0.72,0.72,0.89,0.00,0.00,1.24,"",-6,-4.1,-42,-0.8,-26,-0.5,19,0.4,-1544622,-1.5,0,0.0,0,0.0,-18,-1.2
"C2894","1","10","41","0","2016","3","","Knoxville, TN MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",139,5325,5384,5385,110002963,0,0,1577,"",1.19,0.72,0.73,0.73,0.81,0.00,0.00,1.12,"",-5,-3.5,29,0.5,124,2.4,120,2.3,5136358,4.9,0,0.0,0,0.0,47,3.1
"C2894","1","10","41","0","2016","4","","Knoxville, TN MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",139,5336,5352,5444,137844123,0,0,1972,"",1.19,0.72,0.72,0.73,1.03,0.00,0.00,1.42,"",-2,-1.4,32,0.6,72,1.4,49,0.9,5633330,4.3,0,0.0,0,0.0,63,3.3
"C2894","2","10","41","0","2016","1","N","Knoxville, TN MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",135,0,0,0,0,0,0,0,"N",1.01,0,0,0,0,0,0,0,"N",-7,-4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","2","10","41","0","2016","2","N","Knoxville, TN MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",135,0,0,0,0,0,0,0,"N",1.01,0,0,0,0,0,0,0,"N",-7,-4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
