"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C2934","0","10","40","0","2016","1","","Lake Charles, LA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",5197,102048,102618,103411,1254548354,522204869,8531211,940,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",199,4.0,4807,4.9,4865,5.0,5065,5.2,124473578,11.0,35989925,7.4,635040,8.0,51,5.7
"C2934","0","10","40","0","2016","2","","Lake Charles, LA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",5246,103530,104406,105446,1241038017,152838273,2585080,914,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",200,4.0,4853,4.9,5828,5.9,6109,6.1,125821548,11.3,16551136,12.1,292903,12.8,46,5.3
"C2934","0","10","40","0","2016","3","","Lake Charles, LA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",5344,105800,105828,107772,1355594646,119833119,2231658,979,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",227,4.4,10542,11.1,8098,8.3,8024,8.0,182869067,15.6,18403219,18.1,404968,22.2,55,6.0
"C2934","0","10","40","0","2016","4","","Lake Charles, LA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",5421,107897,108275,108049,1405319338,100176051,1900468,1000,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",245,4.7,5400,5.3,5633,5.5,7839,7.8,64621204,4.8,3346027,3.5,128296,7.2,-13,-1.3
"C2934","1","10","41","0","2016","1","","Lake Charles, LA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",36,540,557,560,9428142,0,0,1313,"",1.10,0.27,0.27,0.27,0.26,0.00,0.00,0.97,"",1,2.9,-4,-0.7,13,2.4,25,4.7,-618873,-6.2,0,0.0,0,0.0,-116,-8.1
"C2934","1","10","41","0","2016","2","","Lake Charles, LA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",36,548,548,549,8678271,0,0,1217,"",1.10,0.27,0.27,0.26,0.25,0.00,0.00,0.95,"",1,2.9,5,0.9,15,2.8,18,3.4,-131217,-1.5,0,0.0,0,0.0,-48,-3.8
"C2934","1","10","41","0","2016","3","","Lake Charles, LA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",36,565,561,569,10351732,0,0,1409,"",1.09,0.27,0.27,0.27,0.25,0.00,0.00,0.92,"",1,2.9,20,3.7,32,6.0,43,8.2,435311,4.4,0,0.0,0,0.0,-21,-1.5
"C2934","1","10","41","0","2016","4","","Lake Charles, LA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",36,562,563,582,9916728,0,0,1341,"",1.08,0.27,0.27,0.27,0.25,0.00,0.00,0.93,"",1,2.9,29,5.4,32,6.0,43,8.0,158706,1.6,0,0.0,0,0.0,-64,-4.6
"C2934","2","10","41","0","2016","1","","Lake Charles, LA MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",50,1824,2003,2009,21356544,193891,194,844,"",1.34,0.55,0.59,0.59,0.51,0.12,0.06,0.88,"",0,0.0,-65,-3.4,-79,-3.8,-82,-3.9,455592,2.2,-8946,-4.4,-110,-36.2,48,6.0
"C2934","2","10","41","0","2016","2","","Lake Charles, LA MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",48,2073,2080,1935,25585680,2209,2,970,"",1.28,0.62,0.62,0.58,0.58,0.00,0.00,0.96,"",-2,-4.0,0,0.0,-7,-0.3,36,1.9,1331911,5.5,-1481,-40.1,-3,-60.0,46,5.0
