"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C2962","0","10","40","0","2016","1","","Lansing-East Lansing, MI MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",9076,202595,203988,204740,2430204575,863257781,28602941,917,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",124,1.4,4366,2.2,4254,2.1,4684,2.3,71214990,3.0,15162329,1.8,-2694683,-8.6,7,0.8
"C2962","0","10","40","0","2016","2","","Lansing-East Lansing, MI MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",9060,208528,206487,208026,2479746568,276396051,9244456,918,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",104,1.2,6183,3.1,1404,0.7,4154,2.0,194273867,8.5,-2809082,-1.0,-1006000,-9.8,55,6.4
"C2962","0","10","40","0","2016","3","","Lansing-East Lansing, MI MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",9071,206009,207804,210302,2503860971,174122082,5659629,926,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",16,0.2,5521,2.8,5241,2.6,4740,2.3,184453117,8.0,12159043,7.5,-195747,-3.3,47,5.3
"C2962","0","10","40","0","2016","4","","Lansing-East Lansing, MI MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",9016,211877,212510,211362,2736549058,139429856,4223675,993,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",45,0.5,5211,2.5,5355,2.6,4484,2.2,45380113,1.7,-384497,-0.3,-643764,-13.2,-8,-0.8
"C2962","1","10","41","0","2016","1","","Lansing-East Lansing, MI MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",85,1855,1839,1866,30703905,0,0,1274,"",1.49,0.46,0.46,0.46,0.44,0.00,0.00,0.97,"",-2,-2.3,-37,-2.0,-65,-3.4,-23,-1.2,-1726125,-5.3,0,0.0,0,0.0,-42,-3.2
"C2962","1","10","41","0","2016","2","","Lansing-East Lansing, MI MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",85,1838,1872,1886,28037809,0,0,1156,"",1.50,0.45,0.46,0.46,0.41,0.00,0.00,0.90,"",-2,-2.3,-92,-4.8,-16,-0.8,9,0.5,-1183107,-4.0,0,0.0,0,0.0,-28,-2.4
"C2962","1","10","41","0","2016","3","","Lansing-East Lansing, MI MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",85,1876,1876,1916,32992677,0,0,1343,"",1.52,0.46,0.46,0.46,0.43,0.00,0.00,0.93,"",-1,-1.2,1,0.1,-7,-0.4,65,3.5,1364209,4.3,0,0.0,0,0.0,42,3.2
"C2962","1","10","41","0","2016","4","","Lansing-East Lansing, MI MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",85,1892,1940,1996,31810397,0,0,1260,"",1.54,0.46,0.47,0.48,0.41,0.00,0.00,0.88,"",0,0.0,56,3.1,97,5.3,102,5.4,624465,2.0,0,0.0,0,0.0,-31,-2.4
"C2962","2","10","41","0","2016","1","","Lansing-East Lansing, MI MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",181,29709,29985,29829,485552793,0,0,1252,"",2.77,4.53,4.48,4.45,5.99,0.00,0.00,1.34,"",-12,-6.2,457,1.6,762,2.6,611,2.1,12231178,2.6,0,0.0,0,0.0,6,0.5
"C2962","2","10","41","0","2016","2","","Lansing-East Lansing, MI MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",183,31203,30601,29448,505530069,0,0,1278,"",2.83,4.60,4.60,4.48,5.74,0.00,0.00,1.26,"",-10,-5.2,1646,5.6,863,2.9,817,2.9,50214364,11.0,0,0.0,0,0.0,83,6.9
"C2962","2","10","41","0","2016","3","","Lansing-East Lansing, MI MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",183,29855,30986,30656,484112467,0,0,1221,"",2.84,4.55,4.70,4.51,5.45,0.00,0.00,1.19,"",-10,-5.2,647,2.2,847,2.8,694,2.3,17040586,3.6,0,0.0,0,0.0,14,1.2
"C2962","2","10","41","0","2016","4","","Lansing-East Lansing, MI MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",183,31644,31532,30676,558528691,0,0,1373,"",2.88,4.64,4.62,4.53,6.16,0.00,0.00,1.34,"",-5,-2.7,1499,5.0,1137,3.7,753,2.5,40547210,7.8,0,0.0,0,0.0,52,3.9
