"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C3186","0","10","40","0","2016","1","","Mankato-North Mankato, MN MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",2568,53250,53596,53566,516418067,311960302,3043034,743,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-48,-1.8,1446,2.8,1311,2.5,1325,2.5,12618933,2.5,5284359,1.7,-504322,-14.2,-1,-0.1
"C3186","0","10","40","0","2016","2","","Mankato-North Mankato, MN MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",2597,54007,53993,53540,543061188,263819188,2955764,776,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-40,-1.5,1031,1.9,872,1.6,678,1.3,24125907,4.6,12715480,5.1,-317686,-9.7,23,3.1
"C3186","0","10","40","0","2016","3","","Mankato-North Mankato, MN MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",2634,52270,52816,54167,567833437,194837746,2284083,823,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",48,1.9,689,1.3,401,0.8,599,1.1,45088961,8.6,12995442,7.1,-211240,-8.5,57,7.4
"C3186","0","10","40","0","2016","4","","Mankato-North Mankato, MN MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",2646,55638,54845,54463,574822960,124315463,1282206,804,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",39,1.5,553,1.0,7,0.0,-128,-0.2,-2746164,-0.5,-453040,-0.4,-289883,-18.4,-6,-0.7
"C3186","1","10","41","0","2016","1","","Mankato-North Mankato, MN MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",28,278,284,281,4167800,0,0,1141,"",1.73,0.26,0.27,0.27,0.28,0.00,0.00,1.07,"",-1,-3.4,-2,-0.7,6,2.2,4,1.4,-362294,-8.0,0,0.0,0,0.0,-111,-8.9
"C3186","1","10","41","0","2016","2","","Mankato-North Mankato, MN MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",28,281,280,280,3865453,0,0,1061,"",1.73,0.27,0.27,0.27,0.26,0.00,0.00,0.98,"",-1,-3.4,-3,-1.1,1,0.4,2,0.7,103245,2.7,0,0.0,0,0.0,29,2.8
"C3186","1","10","41","0","2016","3","","Mankato-North Mankato, MN MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",28,290,286,282,4507100,0,0,1212,"",1.72,0.28,0.27,0.26,0.26,0.00,0.00,0.94,"",0,0.0,14,5.1,12,4.4,6,2.2,77394,1.7,0,0.0,0,0.0,-26,-2.1
"C3186","1","10","41","0","2016","4","","Mankato-North Mankato, MN MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",28,281,289,295,4456613,0,0,1189,"",1.72,0.26,0.27,0.27,0.27,0.00,0.00,1.03,"",0,0.0,1,0.4,4,1.4,7,2.4,112693,2.6,0,0.0,0,0.0,14,1.2
"C3186","2","10","41","0","2016","1","","Mankato-North Mankato, MN MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",40,3268,3412,3442,45545313,0,0,1038,"",2.16,1.90,1.94,1.96,2.64,0.00,0.00,1.37,"",2,5.3,9,0.3,-1,0.0,27,0.8,662662,1.5,0,0.0,0,0.0,11,1.1
"C3186","2","10","41","0","2016","2","","Mankato-North Mankato, MN MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",40,3426,3411,3110,54592670,0,0,1267,"",2.15,1.95,1.96,1.84,2.83,0.00,0.00,1.48,"",2,5.3,18,0.5,48,1.4,44,1.4,2062707,3.9,0,0.0,0,0.0,35,2.8
"C3186","2","10","41","0","2016","3","","Mankato-North Mankato, MN MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,3090,3331,3443,55218908,0,0,1292,"",2.19,1.85,1.99,1.97,2.74,0.00,0.00,1.41,"",3,7.9,77,2.6,152,4.8,122,3.7,11110702,25.2,0,0.0,0,0.0,222,20.7
"C3186","2","10","41","0","2016","4","","Mankato-North Mankato, MN MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",42,3470,3457,3427,48462438,0,0,1080,"",2.25,1.94,1.96,1.96,2.55,0.00,0.00,1.30,"",4,10.5,73,2.1,57,1.7,4,0.1,-4620991,-8.7,0,0.0,0,0.0,-119,-9.9
"C3186","3","10","41","0","2016","1","","Mankato-North Mankato, MN MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",85,4124,4233,4208,41703595,182,16,766,"",1.88,0.76,0.77,0.77,0.92,0.00,0.00,1.20,"",0,0.0,53,1.3,29,0.7,29,0.7,1924868,4.8,-613,-77.1,-56,-77.8,29,3.9
"C3186","3","10","41","0","2016","2","","Mankato-North Mankato, MN MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",86,4179,4296,4432,48853417,1242,112,873,"",1.89,0.76,0.78,0.84,0.92,0.00,0.01,1.16,"",0,0.0,21,0.5,70,1.7,128,3.0,3317106,7.3,551,79.7,50,80.6,45,5.4
