"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C3490","0","10","40","0","2016","1","","Napa, CA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",5659,71459,73446,73623,904325665,339143905,16553381,955,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",111,2.0,797,1.1,1251,1.7,636,0.9,25544280,2.9,5576109,1.7,-521736,-3.1,15,1.6
"C3490","0","10","40","0","2016","2","","Napa, CA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",5699,75956,76897,77531,974410324,100900359,4771362,976,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",106,1.9,987,1.3,572,0.7,601,0.8,56805159,6.2,-391456,-0.4,-243929,-4.9,48,5.2
"C3490","0","10","40","0","2016","3","","Napa, CA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",5759,76882,77281,77747,1023108904,73899468,3519191,1018,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",120,2.1,218,0.3,-182,-0.2,-657,-0.8,58881601,6.1,3039858,4.3,-19989,-0.6,61,6.4
"C3490","0","10","40","0","2016","4","","Napa, CA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",5757,77521,74558,73138,1037372170,52750540,2410817,1063,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",66,1.2,850,1.1,405,0.5,116,0.2,-2630554,-0.3,-99698,-0.2,-197003,-7.6,-9,-0.8
"C3490","1","10","41","0","2016","1","","Napa, CA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",11,198,208,209,3256275,0,0,1222,"",0.31,0.14,0.14,0.14,0.13,0.00,0.00,0.89,"",0,0.0,-11,-5.3,4,2.0,5,2.5,-307783,-8.6,0,0.0,0,0.0,-111,-8.3
"C3490","1","10","41","0","2016","2","","Napa, CA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",12,208,219,224,3269418,0,0,1159,"",0.34,0.14,0.15,0.15,0.12,0.00,0.00,0.85,"",1,9.1,-2,-1.0,10,4.8,17,8.2,177752,5.7,0,0.0,0,0.0,19,1.7
"C3490","1","10","41","0","2016","3","","Napa, CA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",12,229,223,222,3783371,0,0,1295,"",0.34,0.15,0.15,0.15,0.12,0.00,0.00,0.81,"",1,9.1,19,9.0,17,8.3,17,8.3,178745,5.0,0,0.0,0,0.0,-45,-3.4
"C3490","1","10","41","0","2016","4","","Napa, CA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",12,220,219,225,3989130,0,0,1386,"",0.34,0.15,0.15,0.16,0.14,0.00,0.00,0.91,"",1,9.1,20,10.0,21,10.6,25,12.5,304689,8.3,0,0.0,0,0.0,-36,-2.5
"C3490","2","10","41","0","2016","1","","Napa, CA MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",204,3715,3728,3785,58603751,0,0,1204,"",5.01,1.61,1.55,1.57,1.94,0.00,0.00,1.23,"",10,5.2,365,10.9,325,9.6,371,10.9,5921683,11.2,0,0.0,0,0.0,8,0.7
"C3490","2","10","41","0","2016","2","","Napa, CA MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",207,3783,3827,3913,59912831,0,0,1200,"",5.08,1.53,1.55,1.60,1.73,0.00,0.00,1.11,"",14,7.3,421,12.5,472,14.1,560,16.7,6958051,13.1,0,0.0,0,0.0,-14,-1.2
