"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C3562","0","10","40","0","2016","1","","New York-Newark-Jersey City, NY-NJ-PA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",615207,8860760,8890830,8965570,183585272804,64052490952,1889566666,1586,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4806,0.8,167332,1.9,177909,2.0,187523,2.1,2042274014,1.1,2995132828,4.9,-185542553,-8.9,-14,-0.9
"C3562","0","10","40","0","2016","2","","New York-Newark-Jersey City, NY-NJ-PA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",621030,9062784,9104569,9190803,153211433610,27771457127,803731464,1292,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6932,1.1,183245,2.1,130769,1.5,152717,1.7,5433394144,3.7,1005062764,3.8,-70042004,-8.0,24,1.9
"C3562","0","10","40","0","2016","3","","New York-Newark-Jersey City, NY-NJ-PA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",626785,8986764,8940287,9120770,153266012814,18630411513,483857883,1308,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5344,0.9,146487,1.7,147735,1.7,163511,1.8,7718877697,5.3,1130518022,6.5,-82283990,-14.5,45,3.6
"C3562","0","10","40","0","2016","4","","New York-Newark-Jersey City, NY-NJ-PA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",633432,9198291,9263302,9291358,173464197445,13870736995,368304006,1442,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4244,0.7,125063,1.4,130213,1.4,137287,1.5,-629127615,-0.4,-201917685,-1.4,-90413995,-19.7,-26,-1.8
"C3562","1","10","41","0","2016","1","","New York-Newark-Jersey City, NY-NJ-PA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1574,110339,111141,111119,2212707202,0,0,1535,"",0.41,0.63,0.63,0.63,0.42,0.00,0.00,0.67,"",-13,-0.8,49,0.0,729,0.7,1150,1.0,-134644523,-5.7,0,0.0,0,0.0,-103,-6.3
"C3562","1","10","41","0","2016","2","","New York-Newark-Jersey City, NY-NJ-PA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1569,111247,111777,112412,2029150729,0,0,1396,"",0.41,0.63,0.63,0.62,0.48,0.00,0.00,0.77,"",-8,-0.5,-260,-0.2,1409,1.3,1705,1.5,2729732,0.1,0,0.0,0,0.0,-10,-0.7
"C3562","1","10","41","0","2016","3","","New York-Newark-Jersey City, NY-NJ-PA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1570,112087,112558,112404,2387198689,0,0,1634,"",0.41,0.63,0.64,0.63,0.50,0.00,0.00,0.80,"",-10,-0.6,1057,1.0,1809,1.6,2286,2.1,64828133,2.8,0,0.0,0,0.0,19,1.2
"C3562","1","10","41","0","2016","4","","New York-Newark-Jersey City, NY-NJ-PA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1565,111879,112132,114342,2287132628,0,0,1560,"",0.40,0.62,0.62,0.62,0.47,0.00,0.00,0.75,"",-16,-1.0,2052,1.9,1578,1.4,1295,1.1,63297659,2.8,0,0.0,0,0.0,21,1.4
"C3562","2","10","41","0","2016","1","N","New York-Newark-Jersey City, NY-NJ-PA MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1617,0,0,0,0,0,0,0,"N",0.36,0,0,0,0,0,0,0,"N",35,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3562","2","10","41","0","2016","2","N","New York-Newark-Jersey City, NY-NJ-PA MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1625,0,0,0,0,0,0,0,"N",0.37,0,0,0,0,0,0,0,"N",42,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3562","2","10","41","0","2016","3","N","New York-Newark-Jersey City, NY-NJ-PA MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1632,0,0,0,0,0,0,0,"N",0.37,0,0,0,0,0,0,0,"N",46,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
