"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C3798","0","10","40","0","2016","1","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",161915,2656935,2659868,2683767,40402880122,16641754696,730577842,1165,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2071,1.3,42195,1.6,42007,1.6,49425,1.9,17894185,0.0,617646751,3.9,-1001599,-0.1,-20,-1.7
"C3798","0","10","40","0","2016","2","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",161937,2717844,2731536,2745006,38982216745,6855854952,256926680,1098,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2149,1.3,49800,1.9,36467,1.4,37644,1.4,862443203,2.3,413309873,6.4,2451610,1.0,8,0.7
"C3798","0","10","40","0","2016","3","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",162750,2705557,2697066,2742206,39894464201,4519674516,155395614,1130,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1405,0.9,52568,2.0,50641,1.9,57376,2.1,2705762011,7.3,410191641,10.0,-4098722,-2.6,55,5.1
"C3798","0","10","40","0","2016","4","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",163664,2759233,2771726,2776074,42206720893,3370987329,119497424,1173,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1079,0.7,45840,1.7,43774,1.6,42429,1.6,-673733534,-1.6,-6152491,-0.2,-14084478,-10.5,-37,-3.1
"C3798","1","10","41","0","2016","1","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",739,50562,50627,50701,960316434,0,0,1459,"",0.72,0.96,0.96,0.96,0.84,0.00,0.00,0.87,"",1,0.1,-55,-0.1,-122,-0.2,-24,0.0,-75543941,-7.3,0,0.0,0,0.0,-113,-7.2
"C3798","1","10","41","0","2016","2","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",736,50672,50726,51080,897319898,0,0,1358,"",0.73,0.95,0.95,0.95,0.84,0.00,0.00,0.88,"",1,0.1,-500,-1.0,83,0.2,384,0.8,3329563,0.4,0,0.0,0,0.0,5,0.4
"C3798","1","10","41","0","2016","3","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",737,51152,51011,50987,1055065168,0,0,1590,"",0.73,0.95,0.96,0.95,0.85,0.00,0.00,0.90,"",3,0.4,441,0.9,567,1.1,559,1.1,21800702,2.1,0,0.0,0,0.0,17,1.1
"C3798","1","10","41","0","2016","4","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",741,50839,50876,51848,1020894756,0,0,1534,"",0.74,0.94,0.94,0.95,0.86,0.00,0.00,0.91,"",1,0.1,769,1.5,529,1.1,569,1.1,70386336,7.4,0,0.0,0,0.0,88,6.1
"C3798","2","10","41","0","2016","1","N","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",348,0,0,0,0,0,0,0,"N",0.30,0,0,0,0,0,0,0,"N",-5,-1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3798","2","10","41","0","2016","2","N","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",347,0,0,0,0,0,0,0,"N",0.30,0,0,0,0,0,0,0,"N",-6,-1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
