"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C3886","0","10","40","0","2016","1","","Portland-South Portland, ME MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",21381,253578,253174,254037,2956010970,1471885171,26252048,897,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",815,4.0,6429,2.6,7165,2.9,6717,2.7,87773123,3.1,51505509,3.6,-6002670,-18.6,3,0.3
"C3886","0","10","40","0","2016","2","","Portland-South Portland, ME MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",21595,259097,266675,275152,3024309751,587981718,11907406,871,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",784,3.8,6035,2.4,3955,1.5,4275,1.6,171971748,6.0,17169345,3.0,-2887412,-19.5,34,4.1
"C3886","0","10","40","0","2016","3","","Portland-South Portland, ME MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",21871,277289,276817,271010,3217096994,392445384,8361601,900,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",911,4.3,4772,1.8,5133,1.9,4086,1.5,267022872,9.1,11694430,3.1,-2103859,-20.1,61,7.3
"C3886","0","10","40","0","2016","4","","Portland-South Portland, ME MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",22065,268282,264839,265007,3292100527,248764168,4991338,952,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",832,3.9,4257,1.6,3865,1.5,3897,1.5,-927628,0.0,-12034594,-4.6,-1696037,-25.4,-15,-1.6
"C3886","1","10","41","0","2016","1","","Portland-South Portland, ME MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",148,8344,8457,8483,150980707,0,0,1378,"",1.10,1.66,1.69,1.69,1.79,0.00,0.00,1.07,"",-2,-1.3,514,6.6,564,7.1,546,6.9,-13221163,-8.1,0,0.0,0,0.0,-224,-14.0
"C3886","1","10","41","0","2016","2","","Portland-South Portland, ME MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",148,8469,8485,8578,152593557,0,0,1379,"",1.10,1.67,1.63,1.58,1.84,0.00,0.00,1.13,"",-3,-2.0,321,3.9,366,4.5,411,5.0,10192508,7.2,0,0.0,0,0.0,34,2.5
"C3886","1","10","41","0","2016","3","","Portland-South Portland, ME MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",147,8624,8646,8657,181419654,0,0,1615,"",1.09,1.56,1.58,1.63,1.82,0.00,0.00,1.14,"",-3,-2.0,357,4.3,352,4.2,392,4.7,15362516,9.3,0,0.0,0,0.0,71,4.6
"C3886","1","10","41","0","2016","4","","Portland-South Portland, ME MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",147,8705,8746,8779,178882262,0,0,1574,"",1.08,1.66,1.70,1.68,1.93,0.00,0.00,1.15,"",-2,-1.3,344,4.1,344,4.1,331,3.9,29936434,20.1,0,0.0,0,0.0,211,15.5
"C3886","2","10","41","0","2016","1","","Portland-South Portland, ME MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,4315,4385,4400,45312860,1279748,20257,798,"",0.27,0.53,0.53,0.53,0.46,0.29,1.93,0.87,"",0,0.0,-38,-0.9,-6,-0.1,17,0.4,1976845,4.6,207897,19.4,-5169,-20.3,36,4.7
"C3886","2","10","41","0","2016","2","","Portland-South Portland, ME MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,4390,4528,4108,45292986,367382,5110,802,"",0.27,0.52,0.53,0.47,0.42,0.09,0.46,0.83,"",0,0.0,-66,-1.5,171,3.9,-173,-4.0,-967082,-2.1,-98998,-21.2,-4620,-47.5,-13,-1.6
"C3886","2","10","41","0","2016","3","","Portland-South Portland, ME MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",41,4051,3994,4365,45133471,120176,2016,839,"",0.26,0.46,0.45,0.50,0.40,0.03,0.20,0.84,"",0,0.0,-23,-0.6,-58,-1.4,-3,-0.1,411594,0.9,3486,3.0,-843,-29.5,13,1.6
