"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C4090","0","10","40","0","2016","1","","Sacramento--Roseville--Arden-Arcade, CA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",77814,925339,932759,933177,12862939433,3615915024,174413049,1063,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2316,3.1,27505,3.1,32402,3.6,22349,2.5,388692298,3.1,256179520,7.6,3764645,2.2,0,0.0
"C4090","0","10","40","0","2016","2","","Sacramento--Roseville--Arden-Arcade, CA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",78779,945230,950220,954327,12863397950,1014255872,46016081,1042,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2526,3.3,31062,3.4,29038,3.2,25701,2.8,622860151,5.1,66098461,7.0,767606,1.7,20,2.0
"C4090","0","10","40","0","2016","3","","Sacramento--Roseville--Arden-Arcade, CA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",79762,952050,960938,956763,13593857033,744257140,34821894,1093,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2650,3.4,20586,2.2,28168,3.0,21326,2.3,968782467,7.7,39380509,5.6,713232,2.1,52,5.0
"C4090","0","10","40","0","2016","4","","Sacramento--Roseville--Arden-Arcade, CA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",79912,958365,962527,954855,13834347139,580945048,26657826,1110,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1810,2.3,21970,2.3,20993,2.2,14806,1.6,52842415,0.4,-17186774,-2.9,-2189613,-7.6,-19,-1.7
"C4090","1","10","41","0","2016","1","","Sacramento--Roseville--Arden-Arcade, CA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",239,13616,13704,13721,269261763,0,0,1514,"",0.49,0.74,0.74,0.74,0.74,0.00,0.00,0.99,"",-4,-1.6,219,1.6,334,2.5,347,2.6,-8587047,-3.1,0,0.0,0,0.0,-83,-5.2
"C4090","1","10","41","0","2016","2","","Sacramento--Roseville--Arden-Arcade, CA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",236,13815,13850,14128,252052439,0,0,1392,"",0.48,0.75,0.75,0.75,0.71,0.00,0.00,0.95,"",-6,-2.5,184,1.3,306,2.3,467,3.4,7349865,3.0,0,0.0,0,0.0,9,0.7
"C4090","1","10","41","0","2016","3","","Sacramento--Roseville--Arden-Arcade, CA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",236,14248,14217,14261,299262293,0,0,1616,"",0.48,0.75,0.75,0.76,0.71,0.00,0.00,0.94,"",-4,-1.7,460,3.3,380,2.7,470,3.4,15420940,5.4,0,0.0,0,0.0,34,2.1
"C4090","1","10","41","0","2016","4","","Sacramento--Roseville--Arden-Arcade, CA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",236,14285,14228,14292,287983788,0,0,1553,"",0.48,0.76,0.76,0.76,0.74,0.00,0.00,0.97,"",-3,-1.3,538,3.9,371,2.7,245,1.7,19446173,7.2,0,0.0,0,0.0,65,4.4
"C4090","2","10","41","0","2016","1","","Sacramento--Roseville--Arden-Arcade, CA MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4956,117742,118487,118775,2394512533,321999,8513,1557,"",8.84,3.93,3.87,3.89,5.58,0.03,0.12,1.43,"N",-838,-14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4090","2","10","41","0","2016","2","","Sacramento--Roseville--Arden-Arcade, CA MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4947,118980,119607,119973,2453795627,68083,4079,1579,"",8.78,3.87,3.91,3.98,5.37,0.01,0.10,1.37,"N",-716,-12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4090","2","10","41","0","2016","3","","Sacramento--Roseville--Arden-Arcade, CA MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4807,123110,124383,119786,2559867609,1515110,93606,1608,"",8.50,4.06,4.08,3.88,5.31,0.21,2.19,1.33,"N",-671,-12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4090","2","10","41","0","2016","4","","Sacramento--Roseville--Arden-Arcade, CA MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4971,119830,120131,119873,2484749614,84806,4758,1594,"",8.82,3.89,3.88,3.92,5.42,0.01,0.10,1.39,"N",-444,-8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4090","3","10","41","0","2016","1","","Sacramento--Roseville--Arden-Arcade, CA MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1177,100751,100935,102809,1524098167,71709428,3718895,1155,"",0.86,1.07,1.06,1.07,1.35,1.87,3.91,1.27,"N",9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4090","3","10","41","0","2016","2","","Sacramento--Roseville--Arden-Arcade, CA MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1179,102452,103898,103145,1437450644,10723645,567637,1072,"",0.86,1.07,1.08,1.09,1.15,0.66,2.03,1.06,"N",14,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4090","3","10","41","0","2016","3","","Sacramento--Roseville--Arden-Arcade, CA MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1174,89610,95481,99387,1454125955,9569473,507830,1180,"",0.85,1.09,1.11,1.05,1.28,0.79,2.45,1.18,"N",-5,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4090","3","10","41","0","2016","4","","Sacramento--Roseville--Arden-Arcade, CA MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1171,102191,104149,96919,1499148870,5833712,311597,1141,"",0.85,1.06,1.07,1.01,1.23,0.50,2.01,1.17,"N",-4,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
