"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C4118","0","10","40","0","2016","1","","St. Louis, MO-IL MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",81226,1275701,1282930,1291614,16191823616,7935968752,163051002,970,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1672,2.1,18879,1.5,20375,1.6,24019,1.9,-48466997,-0.3,158271958,2.0,-7630096,-4.5,-20,-2.0
"C4118","0","10","40","0","2016","2","","St. Louis, MO-IL MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",81927,1312692,1317871,1315868,16009861712,3096215337,66976299,936,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1878,2.3,21366,1.7,14883,1.1,15841,1.2,528803349,3.4,76223610,2.5,-5090344,-7.1,19,2.1
"C4118","0","10","40","0","2016","3","","St. Louis, MO-IL MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",82023,1290256,1305973,1314748,16328727115,1779821580,39358689,963,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1062,1.3,13121,1.0,13806,1.1,14543,1.1,928069243,6.0,46176793,2.7,-2753952,-6.5,45,4.9
"C4118","0","10","40","0","2016","4","","St. Louis, MO-IL MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",83142,1324353,1321995,1318039,17328802923,1379330004,31109937,1009,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1350,1.7,15433,1.2,12100,0.9,6956,0.5,-188793698,-1.1,-14686183,-1.1,-3221809,-9.4,-20,-1.9
"C4118","1","10","41","0","2016","1","","St. Louis, MO-IL MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",424,24320,24374,24487,415124451,0,0,1309,"",0.83,0.96,0.96,0.96,0.90,0.00,0.00,0.94,"",-5,-1.2,-243,-1.0,-113,-0.5,40,0.2,-37291431,-8.2,0,0.0,0,0.0,-112,-7.9
"C4118","1","10","41","0","2016","2","","St. Louis, MO-IL MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",423,24395,24505,24635,395424732,0,0,1241,"",0.83,0.95,0.95,0.95,0.90,0.00,0.00,0.95,"",-8,-1.9,-124,-0.5,209,0.9,286,1.2,1220420,0.3,0,0.0,0,0.0,-2,-0.2
"C4118","1","10","41","0","2016","3","","St. Louis, MO-IL MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",422,24590,24554,24514,457686872,0,0,1434,"",0.83,0.96,0.95,0.95,0.90,0.00,0.00,0.95,"",-8,-1.9,245,1.0,253,1.0,350,1.4,10981125,2.5,0,0.0,0,0.0,18,1.3
"C4118","1","10","41","0","2016","4","","St. Louis, MO-IL MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",422,24605,24584,25053,444602090,0,0,1382,"",0.83,0.95,0.95,0.96,0.91,0.00,0.00,0.95,"",-3,-0.7,545,2.3,364,1.5,429,1.7,24641735,5.9,0,0.0,0,0.0,53,4.0
"C4118","2","10","41","0","2016","1","","St. Louis, MO-IL MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",155,16300,16314,16350,169551780,0,0,799,"",0.26,0.39,0.39,0.39,0.31,0.00,0.00,0.81,"",-1,-0.6,24,0.1,-3,0.0,63,0.4,-2536336,-1.5,0,0.0,0,0.0,-13,-1.6
"C4118","2","10","41","0","2016","2","","St. Louis, MO-IL MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",152,15973,15920,15586,167730906,0,0,815,"",0.26,0.37,0.38,0.37,0.30,0.00,0.00,0.79,"",-2,-1.3,-106,-0.7,-110,-0.7,-191,-1.2,-1898725,-1.1,0,0.0,0,0.0,-2,-0.2
