"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C4162","0","10","40","0","2016","1","","Salt Lake City, UT MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",43348,666703,671225,674834,8435541785,5839803784,40233177,967,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1344,3.2,23750,3.7,25585,4.0,24605,3.8,362146028,4.5,303427389,5.5,-9928201,-19.8,6,0.6
"C4162","0","10","40","0","2016","2","","Salt Lake City, UT MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",43813,678731,681663,684221,8301085453,4217952228,30752336,937,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1192,2.8,25453,3.9,24222,3.7,24148,3.7,472921305,6.0,306535515,7.8,-6770655,-18.0,20,2.2
"C4162","0","10","40","0","2016","3","","Salt Lake City, UT MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",44576,685484,687918,692120,8838077571,2981750597,21468082,987,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1351,3.1,26066,4.0,25386,3.8,26642,4.0,843133637,10.5,278771678,10.3,-4519459,-17.4,59,6.4
"C4162","0","10","40","0","2016","4","","Salt Lake City, UT MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",45130,694241,696869,697332,9247106935,2124720306,14883016,1022,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",976,2.2,22693,3.4,21074,3.1,18586,2.7,202152484,2.2,22026831,1.0,-5194870,-25.9,-8,-0.8
"C4162","1","10","41","0","2016","1","","Salt Lake City, UT MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",158,12429,12627,12584,219019833,0,0,1343,"",0.58,0.94,0.95,0.94,0.91,0.00,0.00,0.97,"",-2,-1.2,427,3.6,437,3.6,419,3.4,-7910354,-3.5,0,0.0,0,0.0,-97,-6.7
"C4162","1","10","41","0","2016","2","","Salt Lake City, UT MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",156,12669,12654,12758,200035730,0,0,1212,"",0.57,0.95,0.95,0.95,0.88,0.00,0.00,0.92,"",-5,-3.1,426,3.5,409,3.3,362,2.9,436804,0.2,0,0.0,0,0.0,-37,-3.0
"C4162","1","10","41","0","2016","3","","Salt Lake City, UT MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",153,12779,12702,12715,238091122,0,0,1438,"",0.56,0.94,0.93,0.93,0.87,0.00,0.00,0.93,"",-7,-4.4,423,3.4,149,1.2,242,1.9,8500654,3.7,0,0.0,0,0.0,21,1.5
"C4162","1","10","41","0","2016","4","","Salt Lake City, UT MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",154,12807,12710,12820,226922711,0,0,1366,"",0.56,0.95,0.94,0.93,0.87,0.00,0.00,0.93,"",-6,-3.8,374,3.0,120,1.0,13,0.1,7503132,3.4,0,0.0,0,0.0,28,2.1
"C4162","2","10","41","0","2016","1","","Salt Lake City, UT MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",157,41159,41521,41669,584826566,718116,3420,1085,"",0.50,1.91,1.88,1.88,2.08,0.04,0.21,1.10,"",1,0.6,1661,4.2,1971,5.0,1813,4.5,35841348,6.5,-19696,-2.7,-1317,-27.8,20,1.9
"C4162","2","10","41","0","2016","2","","Salt Lake City, UT MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",157,42389,42461,41901,596786247,492417,2802,1087,"",0.50,1.92,1.93,1.94,2.02,0.02,0.10,1.05,"",1,0.6,1559,3.8,1495,3.6,1701,4.2,40895568,7.4,45481,10.2,-349,-11.1,35,3.3
