"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C4214","0","10","40","0","2016","1","","Santa Fe, NM MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",5607,59763,60483,60648,593282026,320628619,7330385,757,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",232,4.3,372,0.6,268,0.4,48,0.1,-12594803,-2.1,9605128,3.1,-388190,-5.0,-19,-2.4
"C4214","0","10","40","0","2016","2","","Santa Fe, NM MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",5625,60979,61565,61474,642150375,253370574,5808326,805,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",183,3.4,-414,-0.7,-333,-0.5,-432,-0.7,3299722,0.5,13036386,5.4,-326550,-5.3,9,1.1
"C4214","0","10","40","0","2016","3","","Santa Fe, NM MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",5538,60600,61309,60954,652420574,188865793,4132263,823,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,0.3,-493,-0.8,-732,-1.2,-461,-0.8,26829734,4.3,13285886,7.6,-285154,-6.5,41,5.2
"C4214","0","10","40","0","2016","4","","Santa Fe, NM MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",5577,61435,61230,61418,740278262,132636585,2004366,928,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-24,-0.4,-44,-0.1,-481,-0.8,-192,-0.3,-44946116,-5.7,1649270,1.3,-1230088,-38.0,-53,-5.4
"C4214","1","10","41","0","2016","1","","Santa Fe, NM MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",32,942,943,950,16212753,0,0,1320,"",0.91,0.79,0.79,0.79,0.96,0.00,0.00,1.21,"",0,0.0,13,1.4,21,2.3,34,3.7,740961,4.8,0,0.0,0,0.0,30,2.3
"C4214","1","10","41","0","2016","2","","Santa Fe, NM MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",32,963,971,993,15004000,0,0,1183,"",0.91,0.81,0.81,0.82,0.85,0.00,0.00,1.05,"",0,0.0,23,2.4,23,2.4,42,4.4,134281,0.9,0,0.0,0,0.0,-26,-2.2
"C4214","1","10","41","0","2016","3","","Santa Fe, NM MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",32,1013,1005,998,18277399,0,0,1398,"",0.93,0.84,0.83,0.83,0.90,0.00,0.00,1.08,"",0,0.0,67,7.1,50,5.2,39,4.1,962625,5.6,0,0.0,0,0.0,1,0.1
"C4214","1","10","41","0","2016","4","","Santa Fe, NM MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",32,957,960,974,16077422,0,0,1283,"",0.93,0.80,0.80,0.80,0.77,0.00,0.00,0.96,"",0,0.0,11,1.2,6,0.6,26,2.7,-33310,-0.2,0,0.0,0,0.0,-22,-1.7
"C4214","2","10","41","0","2016","1","","Santa Fe, NM MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",170,8008,8187,7841,102257105,130598,2920,982,"",4.21,4.14,4.12,3.95,5.17,0.13,1.00,1.27,"",64,60.4,-908,-10.2,-1131,-12.1,-1506,-16.1,-13974109,-12.0,25973,24.8,-209,-6.7,9,0.9
"C4214","2","10","41","0","2016","2","","Santa Fe, NM MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",171,7790,7757,7677,115134772,81602,2169,1144,"",4.25,3.93,3.91,3.95,5.05,0.05,0.40,1.28,"",65,61.3,-1147,-12.8,-1205,-13.4,-1399,-15.4,-14793110,-11.4,-4610,-5.3,-956,-30.6,32,2.9
"C4214","2","10","41","0","2016","3","","Santa Fe, NM MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",171,7513,7578,7567,112741377,5750,19,1148,"",4.35,3.89,3.90,3.84,4.87,0.00,0.00,1.26,"",49,40.2,-1210,-13.9,-1221,-13.9,-1139,-13.1,3790616,3.5,-36017,-86.2,-255,-93.1,189,19.7
"C4214","2","10","41","0","2016","4","","Santa Fe, NM MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",171,7583,7549,7620,97209015,3735,24,986,"",4.35,3.84,3.84,3.87,3.97,0.00,0.01,1.03,"",-43,-20.1,-630,-7.7,-683,-8.3,-663,-8.0,-23297951,-19.3,-21139,-85.0,-87,-78.4,-139,-12.4
"C4214","3","10","41","0","2016","1","","Santa Fe, NM MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",117,6879,7269,7310,67539352,4813765,188181,726,"",1.18,1.13,1.17,1.18,1.30,1.42,4.71,1.12,"",3,2.6,18,0.3,83,1.2,117,1.6,143124,0.2,100569,2.1,-26345,-12.3,-6,-0.8
"C4214","3","10","41","0","2016","2","","Santa Fe, NM MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",117,7320,7278,6879,80731452,5743148,193371,867,"",1.19,1.18,1.16,1.13,1.29,1.42,5.48,1.11,"",3,2.6,16,0.2,-99,-1.3,-218,-3.1,-2371979,-2.9,1897097,49.3,26215,15.7,-14,-1.6
"C4214","3","10","41","0","2016","3","","Santa Fe, NM MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",117,5572,6619,7044,68189997,4355577,148942,818,"",1.22,1.07,1.20,1.17,1.25,1.41,6.06,1.08,"",3,2.6,-71,-1.3,-181,-2.7,10,0.1,3847449,6.0,1985343,83.8,32146,27.5,56,7.3
"C4214","3","10","41","0","2016","4","","Santa Fe, NM MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",117,7164,7152,7132,74600570,2861679,65961,803,"",1.22,1.16,1.16,1.16,1.14,1.07,5.66,0.99,"",3,2.6,-106,-1.5,-35,-0.5,-69,-1.0,-1377448,-1.8,1276878,80.6,-6222,-8.6,-7,-0.9
"C4214","5","10","41","0","2016","1","","Santa Fe, NM MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",5288,43934,44084,44547,407272816,315684256,7139284,709,"",0.97,0.87,0.86,0.87,0.81,1.00,0.98,0.93,"",165,3.2,1249,2.9,1295,3.0,1403,3.3,495221,0.1,9478586,3.1,-361636,-4.8,-21,-2.9
"C4214","5","10","41","0","2016","2","","Santa Fe, NM MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",5305,44906,45559,45925,431280151,247545824,5612786,730,"",0.97,0.87,0.87,0.88,0.80,1.00,0.97,0.92,"",115,2.2,694,1.6,948,2.1,1143,2.6,20330530,4.9,11143899,4.7,-351809,-5.9,20,2.8
"C4214","5","10","41","0","2016","3","","Santa Fe, NM MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",5218,46502,46107,45345,453211801,184504466,3983302,758,"",0.97,0.89,0.88,0.88,0.82,1.00,0.97,0.93,"",-34,-0.6,721,1.6,620,1.4,629,1.4,18229044,4.2,11336560,6.5,-317045,-7.4,20,2.7
"C4214","5","10","41","0","2016","4","","Santa Fe, NM MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",5257,45731,45569,45692,552391255,129771171,1938381,931,"",0.97,0.88,0.88,0.88,0.88,1.01,0.97,1.00,"",16,0.3,681,1.5,231,0.5,514,1.1,-20237407,-3.5,393531,0.3,-1223779,-38.7,-44,-4.5
"C4214","5","101","42","0","2016","1","","Santa Fe, NM MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",725,3671,3655,3732,33817363,31981326,866538,706,"",1.00,0.42,0.42,0.42,0.34,0.44,0.42,0.82,"",8,1.1,114,3.2,137,3.9,208,5.9,1871301,5.9,2630037,9.0,7316,0.9,10,1.4
"C4214","5","101","42","0","2016","2","","Santa Fe, NM MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",729,3859,3855,3872,36806483,27836030,780242,733,"",1.00,0.43,0.43,0.42,0.34,0.55,0.50,0.79,"",3,0.4,169,4.6,119,3.2,26,0.7,2459446,7.2,2090136,8.1,-25377,-3.2,30,4.3
"C4214","5","101","42","0","2016","3","","Santa Fe, NM MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",711,3896,3829,3828,38032611,19721172,517407,760,"",0.99,0.43,0.42,0.42,0.34,0.56,0.49,0.80,"",-20,-2.7,-34,-0.9,-27,-0.7,-27,-0.7,1719476,4.7,846852,4.5,-56373,-9.8,40,5.6
"C4214","5","101","42","0","2016","4","","Santa Fe, NM MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",716,3912,3789,3757,40222381,12055184,267919,810,"",1.00,0.43,0.43,0.42,0.32,0.55,0.59,0.74,"",-9,-1.2,-6,-0.2,-151,-3.8,-55,-1.4,-890687,-2.2,-1273522,-9.6,-128234,-32.4,-3,-0.4
"C4214","5","1011","43","0","2016","1","","Santa Fe, NM MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",55,301,291,304,3950736,3469968,68199,1018,"",0.69,0.40,0.38,0.40,0.46,0.61,0.48,1.18,"",-1,-1.8,26,9.5,10,3.6,21,7.4,-6631,-0.2,128425,3.8,-6251,-8.4,-70,-6.4
"C4214","5","1011","43","0","2016","2","","Santa Fe, NM MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",59,321,323,316,4500131,2127552,58163,1082,"",0.74,0.40,0.39,0.37,0.51,0.41,0.37,1.31,"",5,9.3,3,0.9,-7,-2.1,-10,-3.1,494619,12.3,126287,6.3,-4329,-6.9,133,14.0
"C4214","5","1011","43","0","2016","3","","Santa Fe, NM MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",58,329,312,313,4167805,1498480,37012,1008,"",0.74,0.38,0.37,0.37,0.46,0.35,0.29,1.23,"",5,9.4,-1,-0.3,-9,-2.8,-5,-1.6,335199,8.7,229690,18.1,-2822,-7.1,95,10.4
"C4214","5","1011","43","0","2016","4","","Santa Fe, NM MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",62,323,319,316,4352111,885269,15858,1048,"",0.79,0.39,0.41,0.42,0.44,0.32,0.30,1.09,"",7,12.7,-13,-3.9,0,0.0,2,0.6,24345,0.6,1634,0.2,-10122,-39.0,17,1.6
"C4214","5","1012","43","0","2016","1","","Santa Fe, NM MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",529,2517,2529,2596,21998856,21423850,631297,664,"",1.19,0.94,0.93,0.94,0.81,0.97,0.76,0.87,"",12,2.3,130,5.4,172,7.3,235,10.0,2644199,13.7,2794066,15.0,43229,7.4,35,5.6
"C4214","5","1012","43","0","2016","2","","Santa Fe, NM MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",527,2675,2670,2677,24388253,19990715,587351,702,"",1.17,0.94,0.92,0.91,0.74,1.04,0.73,0.80,"",-1,-0.2,178,7.1,114,4.5,8,0.3,1973859,8.8,1739274,9.5,-17287,-2.9,32,4.8
"C4214","5","1012","43","0","2016","3","","Santa Fe, NM MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",514,2705,2665,2678,25806359,14395878,397971,740,"",1.16,0.91,0.89,0.91,0.73,0.97,0.68,0.81,"",-19,-3.6,-20,-0.7,-2,-0.1,-4,-0.1,1269185,5.2,599945,4.3,-47134,-10.6,39,5.6
"C4214","5","1012","43","0","2016","4","","Santa Fe, NM MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",513,2744,2628,2586,27308001,8598696,210803,792,"",1.15,0.93,0.90,0.91,0.67,0.90,0.84,0.74,"",-15,-2.8,3,0.1,-133,-4.8,-66,-2.5,-648415,-2.3,-1352960,-13.6,-104409,-33.1,1,0.1
"C4214","5","1013","43","0","2016","1","","Santa Fe, NM MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",141,853,835,832,7867771,7087508,167042,720,"",0.71,0.16,0.16,0.16,0.12,0.16,0.15,0.79,"",-3,-2.1,-42,-4.7,-45,-5.1,-48,-5.5,-766267,-8.9,-292454,-4.0,-29662,-15.1,-30,-4.0
"C4214","5","1013","43","0","2016","2","","Santa Fe, NM MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",143,863,862,879,7918099,5717763,134728,702,"",0.72,0.16,0.16,0.17,0.12,0.21,0.22,0.72,"",-1,-0.7,-12,-1.4,12,1.4,28,3.3,-9032,-0.1,224575,4.1,-3761,-2.7,-8,-1.1
"C4214","5","1013","43","0","2016","3","","Santa Fe, NM MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",139,862,852,837,8058447,3826814,82424,729,"",0.71,0.16,0.16,0.16,0.12,0.24,0.23,0.73,"",-6,-4.1,-13,-1.5,-16,-1.8,-18,-2.1,115092,1.4,17217,0.5,-6417,-7.2,23,3.3
