"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C4234","0","10","40","0","2016","1","","Savannah, GA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",9979,162750,164051,164880,1729665332,826614785,13516984,812,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",268,2.8,6129,3.9,5519,3.5,5189,3.2,14099404,0.8,33475242,4.2,-809983,-5.7,-22,-2.6
"C4234","0","10","40","0","2016","2","","Savannah, GA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",10162,166457,166750,167101,1770806674,300450413,4999512,817,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",333,3.4,5094,3.2,4018,2.5,4153,2.5,64423590,3.8,11642869,4.0,-288426,-5.5,8,1.0
"C4234","0","10","40","0","2016","3","","Savannah, GA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",10178,166514,166990,166489,1860242494,197195452,3411273,859,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",289,2.9,3993,2.5,3051,1.9,2556,1.6,146337896,8.5,4483887,2.3,-295080,-8.0,52,6.4
"C4234","0","10","40","0","2016","4","","Savannah, GA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",10330,166477,169472,168924,1898211313,168851843,2961291,868,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",318,3.2,2093,1.3,4204,2.5,3893,2.4,-39595504,-2.0,-5540612,-3.2,-477216,-13.9,-36,-4.0
"C4234","1","10","41","0","2016","1","","Savannah, GA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",87,2883,2896,2882,52213309,0,0,1391,"",1.38,0.89,0.89,0.89,1.06,0.00,0.00,1.19,"",0,0.0,53,1.9,51,1.8,27,0.9,1682621,3.3,0,0.0,0,0.0,24,1.8
"C4234","1","10","41","0","2016","2","","Savannah, GA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",87,2897,2916,2897,46996222,0,0,1245,"",1.37,0.89,0.89,0.88,0.97,0.00,0.00,1.09,"",0,0.0,43,1.5,45,1.6,49,1.7,-1141618,-2.4,0,0.0,0,0.0,-51,-3.9
"C4234","1","10","41","0","2016","3","","Savannah, GA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",86,2874,2860,2869,54436476,0,0,1460,"",1.37,0.87,0.87,0.88,0.94,0.00,0.00,1.08,"",-1,-1.1,48,1.7,30,1.1,48,1.7,3798444,7.5,0,0.0,0,0.0,81,5.9
"C4234","1","10","41","0","2016","4","","Savannah, GA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",86,2893,2897,2911,50285649,0,0,1334,"",1.36,0.89,0.88,0.87,0.94,0.00,0.00,1.07,"",-1,-1.1,38,1.3,46,1.6,18,0.6,-730149,-1.4,0,0.0,0,0.0,-35,-2.6
"C4234","2","10","41","0","2016","1","","Savannah, GA MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",77,4721,5059,4753,62183080,711433,13488,987,"",1.07,0.90,0.94,0.88,1.08,0.28,2.50,1.19,"",-3,-3.8,-16,-0.3,-67,-1.3,-410,-7.9,1430189,2.4,365200,105.5,9197,214.3,54,5.8
"C4234","2","10","41","0","2016","2","","Savannah, GA MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",77,5124,5100,4826,66497430,70195,1061,1020,"",1.06,0.95,0.95,0.91,1.06,0.03,0.23,1.13,"",1,1.3,-69,-1.3,-67,-1.3,-74,-1.5,3675694,5.9,-1659,-2.3,-47,-4.2,70,7.4
