"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C4414","0","10","40","0","2016","1","","Springfield, MA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",22204,263483,264989,267467,3079336738,1638404901,43049631,893,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",871,4.1,4889,1.9,5411,2.1,5784,2.2,26986348,0.9,-1968747,-0.1,2187370,5.4,-10,-1.1
"C4414","0","10","40","0","2016","2","","Springfield, MA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",22527,271938,272977,273150,3098226197,973571826,22961158,874,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",892,4.1,5684,2.1,3433,1.3,2248,0.8,77252626,2.6,41864892,4.5,761537,3.4,10,1.2
"C4414","0","10","40","0","2016","3","","Springfield, MA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",22790,269896,268623,274517,3248010753,710124456,13771191,922,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",905,4.1,5793,2.2,6924,2.6,6700,2.5,229046384,7.6,17822784,2.6,703583,5.4,44,5.0
"C4414","0","10","40","0","2016","4","","Springfield, MA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",23011,275619,275802,275276,3374611109,621920643,9864631,942,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",820,3.7,4177,1.5,4540,1.7,4265,1.6,-61211067,-1.8,-3140368,-0.5,-230349,-2.3,-32,-3.3
"C4414","1","10","41","0","2016","1","","Springfield, MA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",112,5105,5175,5184,86421401,0,0,1290,"",0.80,0.98,0.99,0.98,0.99,0.00,0.00,1.01,"",2,1.8,-14,-0.3,75,1.5,103,2.0,-10739836,-11.1,0,0.0,0,0.0,-175,-11.9
"C4414","1","10","41","0","2016","2","","Springfield, MA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",113,5042,5094,5090,81110573,0,0,1229,"",0.80,0.95,0.95,0.95,0.95,0.00,0.00,1.00,"",3,2.7,-396,-7.3,1,0.0,29,0.6,-729640,-0.9,0,0.0,0,0.0,18,1.5
"C4414","1","10","41","0","2016","3","","Springfield, MA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",113,5077,5181,5181,95403303,0,0,1426,"",0.80,0.95,0.97,0.96,0.95,0.00,0.00,0.99,"",2,1.8,-25,-0.5,105,2.1,93,1.8,1432529,1.5,0,0.0,0,0.0,5,0.4
"C4414","1","10","41","0","2016","4","","Springfield, MA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",113,5182,5215,5554,97553255,0,0,1411,"",0.80,0.96,0.97,1.02,1.03,0.00,0.00,1.04,"",2,1.8,117,2.3,119,2.3,38,0.7,6694654,7.4,0,0.0,0,0.0,74,5.5
"C4414","2","10","41","0","2016","1","","Springfield, MA MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",211,15795,17298,17488,233265226,233265226,699911,1064,"",1.32,1.85,1.99,2.00,2.27,46.79,40.72,1.17,"",6,2.9,257,1.7,111,0.6,8,0.0,-25029118,-9.7,-25029118,-9.7,-75532,-9.7,-123,-10.4
"C4414","2","10","41","0","2016","2","","Springfield, MA MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",219,17658,17666,16351,257485978,257485978,772567,1150,"",1.36,2.00,2.01,1.89,2.34,38.30,36.39,1.19,"",5,2.3,105,0.6,74,0.4,-1086,-6.2,24750375,10.6,24750375,10.6,73928,10.6,129,12.6
