"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C4530","0","10","40","0","2016","1","","Tampa-St. Petersburg-Clearwater, FL MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",85306,1220712,1229480,1235516,14386665646,5699099116,85190171,901,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-563,-0.7,41483,3.5,39582,3.3,39541,3.3,564199887,4.1,250534979,4.6,-30997524,-26.7,6,0.7
"C4530","0","10","40","0","2016","2","","Tampa-St. Petersburg-Clearwater, FL MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",86063,1242678,1239972,1215147,14410440867,1502019406,21092982,899,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2636,3.2,43851,3.7,39060,3.3,36564,3.1,904129647,6.7,41204933,2.8,-8236789,-28.1,28,3.2
"C4530","0","10","40","0","2016","3","","Tampa-St. Petersburg-Clearwater, FL MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",86918,1199681,1228456,1238883,14721409099,1024142443,14823510,926,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3067,3.7,38273,3.3,37335,3.1,38482,3.2,1487094748,11.2,66372502,6.9,-4559563,-23.5,66,7.7
"C4530","0","10","40","0","2016","4","","Tampa-St. Petersburg-Clearwater, FL MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",88067,1252559,1267303,1274120,15761359113,923885145,13305408,959,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2504,2.9,32951,2.7,27954,2.3,27282,2.2,66829005,0.4,-55839388,-5.7,-6985099,-34.4,-18,-1.8
"C4530","1","10","41","0","2016","1","","Tampa-St. Petersburg-Clearwater, FL MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",236,22648,22624,22591,408199845,0,0,1388,"",0.44,0.93,0.93,0.93,1.00,0.00,0.00,1.07,"",0,0.0,480,2.2,444,2.0,362,1.6,-40482229,-9.0,0,0.0,0,0.0,-167,-10.7
"C4530","1","10","41","0","2016","2","","Tampa-St. Petersburg-Clearwater, FL MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",236,22620,22764,22784,388247739,0,0,1314,"",0.44,0.93,0.94,0.95,0.98,0.00,0.00,1.04,"",3,1.3,247,1.1,423,1.9,475,2.1,8975664,2.4,0,0.0,0,0.0,8,0.6
"C4530","1","10","41","0","2016","3","","Tampa-St. Petersburg-Clearwater, FL MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",239,22770,22983,23014,460302479,0,0,1545,"",0.44,0.95,0.94,0.95,1.01,0.00,0.00,1.06,"",6,2.6,298,1.3,684,3.1,632,2.8,19771778,4.5,0,0.0,0,0.0,31,2.0
"C4530","1","10","41","0","2016","4","","Tampa-St. Petersburg-Clearwater, FL MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",238,23021,23177,23594,431395210,0,0,1426,"",0.44,0.94,0.94,0.94,0.97,0.00,0.00,1.03,"",3,1.3,538,2.4,542,2.4,680,3.0,8384219,2.0,0,0.0,0,0.0,-9,-0.6
"C4530","2","10","41","0","2016","1","","Tampa-St. Petersburg-Clearwater, FL MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",225,18923,19090,19046,224657706,0,0,909,"",0.37,0.48,0.47,0.47,0.47,0.00,0.00,0.99,"",-8,-3.4,375,2.0,331,1.8,297,1.6,5811863,2.7,-1138074,-100.0,-22420,-100.0,8,0.9
"C4530","2","10","41","0","2016","2","","Tampa-St. Petersburg-Clearwater, FL MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",224,19285,18470,18570,249896406,0,0,1024,"",0.36,0.48,0.46,0.48,0.49,0.00,0.00,1.03,"",-4,-1.8,463,2.5,282,1.6,181,1.0,7827327,3.2,-81131,-100.0,-1598,-100.0,16,1.6
